,Experiment name:,WILLIAMP2;
Duration:,2 0;
Rate:,100 per second;
Sensors:,Blood pressure (ID 3  Exp 1);
Range:,mm Hg;
Units:,mm Hg;
Time;
'0:0:5.24;201.68
'0:0:5.25;201.68
'0:0:5.26;201.68
'0:0:5.27;201.68
'0:0:5.28;201.56
'0:0:5.29;201.56
'0:0:5.3;201.44
'0:0:5.31;201.44
'0:0:5.32;201.44
'0:0:5.33;201.31
'0:0:5.34;201.31
'0:0:5.35;201.31
'0:0:5.36;201.19
'0:0:5.37;201.19
'0:0:5.38;201.07
'0:0:5.39;201.07
'0:0:5.4;201.07
'0:0:5.41;201.07
'0:0:5.42;200.95
'0:0:5.43;200.95
'0:0:5.44;200.95
'0:0:5.45;200.83
'0:0:5.46;200.83
'0:0:5.47;200.83
'0:0:5.48;200.71
'0:0:5.49;200.83
'0:0:5.5;200.71
'0:0:5.51;200.83
'0:0:5.52;200.71
'0:0:5.53;200.71
'0:0:5.54;200.83
'0:0:5.55;200.71
'0:0:5.56;200.71
'0:0:5.57;200.71
'0:0:5.58;200.71
'0:0:5.59;200.59
'0:0:5.6;200.59
'0:0:5.61;200.59
'0:0:5.62;200.47
'0:0:5.63;200.47
'0:0:5.64;200.47
'0:0:5.65;200.34
'0:0:5.66;200.34
'0:0:5.67;200.34
'0:0:5.68;200.22
'0:0:5.69;200.22
'0:0:5.7;200.22
'0:0:5.71;200.22
'0:0:5.72;200.22
'0:0:5.73;200.1
'0:0:5.74;200.1
'0:0:5.75;200.1
'0:0:5.76;200.1
'0:0:5.77;199.98
'0:0:5.78;199.98
'0:0:5.79;199.98
'0:0:5.8;199.98
'0:0:5.81;199.98
'0:0:5.82;199.98
'0:0:5.83;199.98
'0:0:5.84;199.86
'0:0:5.85;199.74
'0:0:5.86;199.74
'0:0:5.87;199.86
'0:0:5.88;199.74
'0:0:5.89;199.74
'0:0:5.9;199.62
'0:0:5.91;199.74
'0:0:5.92;199.62
'0:0:5.93;199.62
'0:0:5.94;199.62
'0:0:5.95;199.62
'0:0:5.96;199.62
'0:0:5.97;199.5
'0:0:5.98;199.5
'0:0:5.99;199.5
'0:0:6.0;199.5
'0:0:6.01;199.5
'0:0:6.02;199.38
'0:0:6.03;199.38
'0:0:6.04;199.38
'0:0:6.05;199.38
'0:0:6.06;199.25
'0:0:6.07;199.25
'0:0:6.08;199.25
'0:0:6.09;199.25
'0:0:6.1;199.25
'0:0:6.11;199.13
'0:0:6.12;199.13
'0:0:6.13;199.25
'0:0:6.14;199.13
'0:0:6.15;199.13
'0:0:6.16;199.01
'0:0:6.17;199.01
'0:0:6.18;199.01
'0:0:6.19;199.01
'0:0:6.2;199.01
'0:0:6.21;199.01
'0:0:6.22;199.01
'0:0:6.23;199.01
'0:0:6.24;199.01
'0:0:6.25;199.01
'0:0:6.26;199.01
'0:0:6.27;198.89
'0:0:6.28;198.89
'0:0:6.29;198.89
'0:0:6.3;198.89
'0:0:6.31;198.89
'0:0:6.32;198.89
'0:0:6.33;198.77
'0:0:6.34;198.77
'0:0:6.35;198.77
'0:0:6.36;198.65
'0:0:6.37;198.65
'0:0:6.38;198.65
'0:0:6.39;198.65
'0:0:6.4;198.65
'0:0:6.41;198.53
'0:0:6.42;198.53
'0:0:6.43;198.65
'0:0:6.44;198.65
'0:0:6.45;198.53
'0:0:6.46;198.53
'0:0:6.47;198.53
'0:0:6.48;198.53
'0:0:6.49;198.41
'0:0:6.5;198.41
'0:0:6.51;198.41
'0:0:6.52;198.41
'0:0:6.53;198.41
'0:0:6.54;198.29
'0:0:6.55;198.29
'0:0:6.56;198.29
'0:0:6.57;198.29
'0:0:6.58;198.29
'0:0:6.59;198.16
'0:0:6.6;198.29
'0:0:6.61;198.16
'0:0:6.62;198.04
'0:0:6.63;198.16
'0:0:6.64;198.16
'0:0:6.65;198.16
'0:0:6.66;198.04
'0:0:6.67;198.04
'0:0:6.68;198.04
'0:0:6.69;198.04
'0:0:6.7;198.04
'0:0:6.71;197.92
'0:0:6.72;197.8
'0:0:6.73;197.92
'0:0:6.74;197.8
'0:0:6.75;197.92
'0:0:6.76;197.8
'0:0:6.77;197.8
'0:0:6.78;197.8
'0:0:6.79;197.8
'0:0:6.8;197.68
'0:0:6.81;197.8
'0:0:6.82;197.68
'0:0:6.83;197.8
'0:0:6.84;197.8
'0:0:6.85;197.8
'0:0:6.86;197.8
'0:0:6.87;197.8
'0:0:6.88;197.8
'0:0:6.89;197.8
'0:0:6.9;197.8
'0:0:6.91;197.8
'0:0:6.92;197.8
'0:0:6.93;197.8
'0:0:6.94;197.8
'0:0:6.95;197.8
'0:0:6.96;197.8
'0:0:6.97;197.8
'0:0:6.98;197.68
'0:0:6.99;197.68
'0:0:7.0;197.68
'0:0:7.01;197.68
'0:0:7.02;197.56
'0:0:7.03;197.56
'0:0:7.04;197.56
'0:0:7.05;197.68
'0:0:7.06;197.56
'0:0:7.07;197.56
'0:0:7.08;197.56
'0:0:7.09;197.56
'0:0:7.1;197.56
'0:0:7.11;197.44
'0:0:7.12;197.44
'0:0:7.13;197.44
'0:0:7.14;197.44
'0:0:7.15;197.44
'0:0:7.16;197.44
'0:0:7.17;197.44
'0:0:7.18;197.32
'0:0:7.19;197.32
'0:0:7.2;197.32
'0:0:7.21;197.32
'0:0:7.22;197.32
'0:0:7.23;197.32
'0:0:7.24;197.32
'0:0:7.25;197.32
'0:0:7.26;197.32
'0:0:7.27;197.2
'0:0:7.28;197.2
'0:0:7.29;197.2
'0:0:7.3;197.2
'0:0:7.31;197.2
'0:0:7.32;197.2
'0:0:7.33;197.2
'0:0:7.34;197.07
'0:0:7.35;197.07
'0:0:7.36;197.07
'0:0:7.37;197.07
'0:0:7.38;197.07
'0:0:7.39;197.07
'0:0:7.4;197.07
'0:0:7.41;197.07
'0:0:7.42;197.07
'0:0:7.43;197.07
'0:0:7.44;197.07
'0:0:7.45;197.07
'0:0:7.46;197.07
'0:0:7.47;197.07
'0:0:7.48;197.07
'0:0:7.49;197.07
'0:0:7.5;197.07
'0:0:7.51;196.95
'0:0:7.52;196.83
'0:0:7.53;196.83
'0:0:7.54;196.83
'0:0:7.55;196.71
'0:0:7.56;196.59
'0:0:7.57;196.59
'0:0:7.58;196.47
'0:0:7.59;196.35
'0:0:7.6;196.35
'0:0:7.61;196.23
'0:0:7.62;196.11
'0:0:7.63;196.11
'0:0:7.64;196.11
'0:0:7.65;195.98
'0:0:7.66;195.86
'0:0:7.67;195.86
'0:0:7.68;195.86
'0:0:7.69;195.62
'0:0:7.7;195.62
'0:0:7.71;195.62
'0:0:7.72;195.5
'0:0:7.73;195.38
'0:0:7.74;195.38
'0:0:7.75;195.38
'0:0:7.76;195.26
'0:0:7.77;195.02
'0:0:7.78;195.02
'0:0:7.79;194.89
'0:0:7.8;194.89
'0:0:7.81;194.65
'0:0:7.82;194.65
'0:0:7.83;194.53
'0:0:7.84;194.41
'0:0:7.85;194.29
'0:0:7.86;194.17
'0:0:7.87;194.05
'0:0:7.88;193.93
'0:0:7.89;193.93
'0:0:7.9;193.68
'0:0:7.91;193.68
'0:0:7.92;193.56
'0:0:7.93;193.44
'0:0:7.94;193.44
'0:0:7.95;193.2
'0:0:7.96;193.2
'0:0:7.97;192.96
'0:0:7.98;192.96
'0:0:7.99;192.83
'0:0:8.0;192.71
'0:0:8.01;192.59
'0:0:8.02;192.59
'0:0:8.03;192.35
'0:0:8.04;192.35
'0:0:8.05;192.23
'0:0:8.06;192.23
'0:0:8.07;192.11
'0:0:8.08;191.99
'0:0:8.09;191.87
'0:0:8.1;191.87
'0:0:8.11;191.74
'0:0:8.12;191.74
'0:0:8.13;191.74
'0:0:8.14;191.62
'0:0:8.15;191.5
'0:0:8.16;191.38
'0:0:8.17;191.26
'0:0:8.18;191.26
'0:0:8.19;191.02
'0:0:8.2;191.02
'0:0:8.21;190.9
'0:0:8.22;190.78
'0:0:8.23;190.65
'0:0:8.24;190.53
'0:0:8.25;190.41
'0:0:8.26;190.41
'0:0:8.27;190.17
'0:0:8.28;190.17
'0:0:8.29;190.05
'0:0:8.3;189.93
'0:0:8.31;189.93
'0:0:8.32;189.81
'0:0:8.33;189.69
'0:0:8.34;189.56
'0:0:8.35;189.56
'0:0:8.36;189.32
'0:0:8.37;189.32
'0:0:8.38;189.2
'0:0:8.39;189.08
'0:0:8.4;188.96
'0:0:8.41;188.84
'0:0:8.42;188.84
'0:0:8.43;188.84
'0:0:8.44;188.72
'0:0:8.45;188.6
'0:0:8.46;188.6
'0:0:8.47;188.47
'0:0:8.48;188.47
'0:0:8.49;188.35
'0:0:8.5;188.35
'0:0:8.51;188.11
'0:0:8.52;188.11
'0:0:8.53;187.99
'0:0:8.54;187.99
'0:0:8.55;187.87
'0:0:8.56;187.75
'0:0:8.57;187.63
'0:0:8.58;187.51
'0:0:8.59;187.51
'0:0:8.6;187.38
'0:0:8.61;187.14
'0:0:8.62;187.14
'0:0:8.63;187.02
'0:0:8.64;186.9
'0:0:8.65;186.9
'0:0:8.66;186.78
'0:0:8.67;186.66
'0:0:8.68;186.54
'0:0:8.69;186.54
'0:0:8.7;186.41
'0:0:8.71;186.41
'0:0:8.72;186.29
'0:0:8.73;186.17
'0:0:8.74;186.17
'0:0:8.75;186.17
'0:0:8.76;186.05
'0:0:8.77;185.93
'0:0:8.78;185.81
'0:0:8.79;185.81
'0:0:8.8;185.69
'0:0:8.81;185.57
'0:0:8.82;185.45
'0:0:8.83;185.45
'0:0:8.84;185.2
'0:0:8.85;185.2
'0:0:8.86;185.08
'0:0:8.87;184.96
'0:0:8.88;184.84
'0:0:8.89;184.72
'0:0:8.9;184.6
'0:0:8.91;184.48
'0:0:8.92;184.48
'0:0:8.93;184.36
'0:0:8.94;184.23
'0:0:8.95;184.11
'0:0:8.96;183.99
'0:0:8.97;183.99
'0:0:8.98;183.87
'0:0:8.99;183.75
'0:0:9.0;183.75
'0:0:9.01;183.63
'0:0:9.02;183.51
'0:0:9.03;183.51
'0:0:9.04;183.27
'0:0:9.05;183.27
'0:0:9.06;183.14
'0:0:9.07;183.02
'0:0:9.08;183.02
'0:0:9.09;182.78
'0:0:9.1;182.78
'0:0:9.11;182.66
'0:0:9.12;182.54
'0:0:9.13;182.54
'0:0:9.14;182.54
'0:0:9.15;182.42
'0:0:9.16;182.3
'0:0:9.17;182.3
'0:0:9.18;182.18
'0:0:9.19;182.05
'0:0:9.2;182.05
'0:0:9.21;181.93
'0:0:9.22;181.81
'0:0:9.23;181.81
'0:0:9.24;181.69
'0:0:9.25;181.57
'0:0:9.26;181.57
'0:0:9.27;181.45
'0:0:9.28;181.33
'0:0:9.29;181.33
'0:0:9.3;181.21
'0:0:9.31;181.09
'0:0:9.32;181.09
'0:0:9.33;180.96
'0:0:9.34;180.96
'0:0:9.35;180.96
'0:0:9.36;180.96
'0:0:9.37;180.84
'0:0:9.38;180.84
'0:0:9.39;180.72
'0:0:9.4;180.6
'0:0:9.41;180.6
'0:0:9.42;180.48
'0:0:9.43;180.36
'0:0:9.44;180.36
'0:0:9.45;180.12
'0:0:9.46;180.12
'0:0:9.47;180
'0:0:9.48;179.87
'0:0:9.49;179.87
'0:0:9.5;179.75
'0:0:9.51;179.63
'0:0:9.52;179.51
'0:0:9.53;179.39
'0:0:9.54;179.39
'0:0:9.55;179.27
'0:0:9.56;179.15
'0:0:9.57;179.15
'0:0:9.58;179.15
'0:0:9.59;179.03
'0:0:9.6;178.9
'0:0:9.61;178.9
'0:0:9.62;178.78
'0:0:9.63;178.66
'0:0:9.64;178.66
'0:0:9.65;178.54
'0:0:9.66;178.42
'0:0:9.67;178.3
'0:0:9.68;178.18
'0:0:9.69;178.18
'0:0:9.7;178.06
'0:0:9.71;177.94
'0:0:9.72;177.94
'0:0:9.73;177.81
'0:0:9.74;177.69
'0:0:9.75;177.57
'0:0:9.76;177.57
'0:0:9.77;177.45
'0:0:9.78;177.33
'0:0:9.79;177.33
'0:0:9.8;177.21
'0:0:9.81;177.09
'0:0:9.82;177.09
'0:0:9.83;176.85
'0:0:9.84;176.85
'0:0:9.85;176.85
'0:0:9.86;176.72
'0:0:9.87;176.6
'0:0:9.88;176.48
'0:0:9.89;176.48
'0:0:9.9;176.36
'0:0:9.91;176.24
'0:0:9.92;176.24
'0:0:9.93;176.12
'0:0:9.94;176.12
'0:0:9.95;176
'0:0:9.96;176
'0:0:9.97;175.88
